region_id,region_name,slug,centre,boundary
CH-1234,Meiringen - Hasliberg,ch_1234,"{""lon"": 7.863868, ""lat"": 46.580465}","{""type"":""Polygon"",""coordinates"":[[[7.878638,46.617389],[7.882061,46.607859],[7.883074,46.596768],[7.881241,46.58166],[7.878887,46.573581],[7.872526,46.565123],[7.869607,46.557638],[7.870114,46.549548],[7.872355,46.543819],[7.875767,46.541439],[7.880611,46.539448],[7.888607,46.53843],[7.89748,46.539776],[7.962685,46.579974],[7.964612,46.582939],[7.99779,46.558066],[7.930778,46.497507],[7.840724,46.478056],[7.812302,46.495723],[7.819089,46.52612],[7.826412,46.573994],[7.824926,46.586183],[7.823143,46.589065],[7.816967,46.59652],[7.809515,46.605511],[7.802059,46.612869],[7.79485,46.618886],[7.79958,46.625061],[7.820777,46.62984],[7.839132,46.631177],[7.845235,46.630969],[7.851221,46.630739],[7.864808,46.628022],[7.868752,46.626139],[7.87428,46.623499],[7.878638,46.617389]]]}"
CH-1241,Brünig - Lungern,ch_1241,"{""lon"": 7.99452, ""lat"": 46.706445}","{""type"":""Polygon"",""coordinates"":[[[7.826674,46.666811],[7.840837,46.685636],[7.855343,46.699227],[7.86116,46.703754],[7.863075,46.705244],[7.876603,46.714686],[7.902778,46.729398],[7.921737,46.740044],[7.984284,46.775116],[7.996311,46.781851],[8.025066,46.788778],[8.055456,46.788045],[8.089785,46.787208],[8.145467,46.754006],[8.160464,46.733447],[8.164078,46.72849],[8.164947,46.725091],[8.160979,46.720195],[8.138694,46.702239],[8.132258,46.699348],[8.074225,46.686221],[8.070693,46.683527],[8.037641,46.671618],[8.032588,46.671409],[8.027627,46.672253],[8.028142,46.67556],[8.023515,46.677268],[7.992583,46.675055],[7.947695,46.671829],[7.928477,46.666515],[7.918378,46.661983],[7.908608,46.656073],[7.830834,46.654378],[7.826674,46.666811]]]}"
CH-1242,Innertkirchen,ch_1242,"{""lon"": 7.987976, ""lat"": 46.651999}","{""type"":""Polygon"",""coordinates"":[[[7.964612,46.582939],[7.94759,46.59412],[7.916226,46.6185],[7.897226,46.633254],[7.908608,46.656073],[7.918378,46.661983],[7.928477,46.666515],[7.947695,46.671829],[7.992583,46.675055],[8.023515,46.677268],[8.028142,46.67556],[8.027627,46.672253],[8.032588,46.671409],[8.037641,46.671618],[8.070693,46.683527],[8.074225,46.686221],[8.103138,46.654922],[7.964612,46.582939]]]}"
CH-1243,Susten - Gadmental,ch_1243,"{""lon"": 8.116105, ""lat"": 46.56923}","{""type"":""Polygon"",""coordinates"":[[[8.187866,46.586098],[8.230799,46.585614],[8.236745,46.586235],[8.173758,46.531013],[8.157845,46.531283],[8.147563,46.532336],[8.126701,46.537143],[8.118085,46.544711],[8.113657,46.546997],[8.059599,46.556945],[8.050823,46.558557],[8.027208,46.562774],[8.01521,46.56318],[7.99779,46.558066],[7.964612,46.582939],[8.103138,46.654922],[8.141023,46.612578],[8.16571,46.597878],[8.187866,46.586098]]]}"
CH-1244,Melchsee - Sarneraa,ch_1244,"{""lon"": 8.16787, ""lat"": 46.717179}","{""type"":""Polygon"",""coordinates"":[[[8.115439,46.663378],[8.103138,46.654922],[8.074225,46.686221],[8.132258,46.699348],[8.138694,46.702239],[8.160979,46.720195],[8.164947,46.725091],[8.164078,46.72849],[8.160464,46.733447],[8.145467,46.754006],[8.187437,46.76928],[8.204693,46.77009],[8.251028,46.766294],[8.260573,46.763466],[8.272269,46.754443],[8.226165,46.707947],[8.185745,46.695704],[8.126492,46.668465],[8.115439,46.663378]]]}"
CH-1245,Göscheneralp,ch_1245,"{""lon"": 8.218819, ""lat"": 46.637899}","{""type"":""Polygon"",""coordinates"":[[[8.230799,46.585614],[8.187866,46.586098],[8.16571,46.597878],[8.141023,46.612578],[8.103138,46.654922],[8.115439,46.663378],[8.126492,46.668465],[8.185745,46.695704],[8.226165,46.707947],[8.276599,46.693435],[8.314638,46.68241],[8.363685,46.643336],[8.317688,46.629343],[8.278571,46.613424],[8.236745,46.586235],[8.230799,46.585614]]]}"
CH-1246,Furka - Urseren,ch_1246,"{""lon"": 8.37413, ""lat"": 46.727794}","{""type"":""Polygon"",""coordinates"":[[[8.454304,46.707312],[8.454698,46.694871],[8.452125,46.689027],[8.441128,46.6869],[8.437309,46.686663],[8.413423,46.690952],[8.404288,46.691831],[8.400677,46.691202],[8.399034,46.684058],[8.398774,46.674924],[8.411368,46.655017],[8.37429,46.631819],[8.363685,46.643336],[8.314638,46.68241],[8.276599,46.693435],[8.226165,46.707947],[8.272269,46.754443],[8.282715,46.754505],[8.296342,46.760994],[8.313311,46.770623],[8.315354,46.772905],[8.31582,46.77583],[8.311594,46.781719],[8.311215,46.786211],[8.313594,46.788264],[8.343617,46.802101],[8.347797,46.798691],[8.391695,46.775649],[8.433764,46.773158],[8.444937,46.769847],[8.448696,46.767335],[8.450915,46.764203],[8.449989,46.729497],[8.454304,46.707312]]]}"
CH-1247,Ulrichen - Oberwald,ch_1247,"{""lon"": 8.31135, ""lat"": 46.583812}","{""type"":""Polygon"",""coordinates"":[[[8.37429,46.631819],[8.368683,46.626677],[8.362411,46.600214],[8.361147,46.588005],[8.361935,46.584996],[8.366647,46.584243],[8.362488,46.579475],[8.34383,46.563632],[8.282185,46.537622],[8.25404,46.528983],[8.238406,46.52651],[8.18351,46.521268],[8.173758,46.531013],[8.236745,46.586235],[8.278571,46.613424],[8.317688,46.629343],[8.363685,46.643336],[8.37429,46.631819]]]}"
CH-1311,Monthey - St-Maurice,ch_1311,"{""lon"": 6.841515, ""lat"": 46.326602}","{""type"":""Polygon"",""coordinates"":[[[6.869981,46.385716],[6.883934,46.377428],[6.919014,46.339183],[6.9616,46.280526],[6.979101,46.257132],[6.854456,46.253654],[6.86191,46.267801],[6.861161,46.275383],[6.865659,46.281936],[6.855277,46.291131],[6.847731,46.289766],[6.844313,46.291062],[6.836477,46.296722],[6.830328,46.30515],[6.81035,46.317935],[6.799901,46.318751],[6.797465,46.330702],[6.786716,46.331682],[6.781126,46.341045],[6.771083,46.350415],[6.772388,46.361645],[6.791186,46.368151],[6.80574,46.377495],[6.802535,46.390742],[6.819985,46.424796],[6.869981,46.385716]]]}"
CH-1312,Fully - Saillon,ch_1312,"{""lon"": 6.90776, ""lat"": 46.163182}","{""type"":""Polygon"",""coordinates"":[[[7.052713,46.137002],[7.027966,46.134811],[6.972364,46.12227],[6.969035,46.121518],[6.956609,46.120382],[6.93558,46.123848],[6.923361,46.126881],[6.896928,46.122237],[6.891029,46.12442],[6.882166,46.123641],[6.873582,46.125231],[6.856535,46.125372],[6.839126,46.131323],[6.817654,46.130568],[6.808828,46.135628],[6.800723,46.135544],[6.798144,46.137356],[6.792464,46.1478],[6.792426,46.159848],[6.795323,46.165339],[6.811288,46.181661],[6.808334,46.193821],[6.803667,46.199688],[6.803694,46.202491],[6.837202,46.245693],[6.854456,46.253654],[6.979101,46.257132],[6.982892,46.255034],[6.98768,46.251035],[7.033204,46.187066],[7.03362,46.18648],[7.034261,46.183399],[7.028982,46.179287],[7.037967,46.146922],[7.052713,46.137002]]]}"
