resort_uuid	location_uuid	role	is_primary	resort_name	location_name
5d64fb14-e65e-4c89-bad0-ffebe0fb8eb4	e82198bc-8a47-55e9-9273-586cdf9d67fe	TOP	no	Nendaz	Mont Fort
fd30b251-fe78-4591-9645-60fbb7b71ae5	31016301-0d4c-5551-b627-f4cd36cf0988	TOP	no	Rochers-de-Naye	Rochers de Naye
211e743b-e0e6-5e77-aee3-8c6cec23d0ef	b57fa53e-83f5-5ad6-9d00-48d21531fffb	TOP	no	Rougemont - La Videmanette	Rocher à Pointes
cb1919a0-e042-4f21-9ae1-b1a47abf8dc6	ef5643d8-4baa-564e-8008-4af8cc570c00	TOP	no	Saas-Almagell	Guggilihorn
1f5470a5-1aae-4577-a8dd-31bef8e7a961	72a583f4-0d0a-5402-bcce-44ef35125402	TOP	no	Saas-Fee	Gemshorn
4b88a193-bc01-45e9-ba21-29071da163a2	dac86d7b-1060-5477-8835-9c1941ec9e02	TOP	no	Saas-Grund	Jegihorn
6555f088-e308-4487-a08d-5210bb0cc4c1	226d1ad0-3036-54d7-9d26-2e53bb1f48aa	TOP	no	San Bernardino	La Guardia
bd1a0b13-face-5972-a14f-52eb1f9e5955	8428cd3e-eb06-55bc-8658-257935e02926	TOP	no	Sarn (Heinzenberg)	Tgom'Aulta
64597f5e-8214-46b7-9446-4f5f262358bf	606b4710-e84d-5198-b05b-6e401807e1b2	TOP	no	Savognin	Piz Arlos
3d6f6c30-cf77-5783-aeb8-8525ba540463	2fe8b352-6c83-5fd5-8a27-a24d1c65275a	TOP	no	Schwarzsee	Wannelschilchli
2711d130-9eaa-5659-a0a9-0fc2c094362c	c7f39150-34ec-52dc-9b61-d4c76b17b307	TOP	no	Sedrun	Piz Pali
aa86cfde-2f39-416e-8aa9-8572d4845a7d	8cc97a22-1a83-5fae-83a9-6d3ae76d3c98	TOP	no	Splügen	Caschlera
a5a714f8-1e4e-4e6c-8812-b964f677e3f5	a0d6d3c7-ed8c-5b55-8d64-a29d45508574	TOP	no	St-Luc	Rothorn
98bd56e7-aa00-5867-b5ef-56ef194bc172	15003d40-87d8-5784-ad52-12951bde989c	TOP	no	St. Antönien	Büheli
1e056210-9479-4673-a6c3-368e7c15f1bb	7a319249-b823-5e04-a766-439deff73229	TOP	no	St. Moritz	Piz Nair
2fc9653c-cbe0-510f-82ce-81b538490b6e	b87de6e6-595a-5c40-9fea-6004c91002e8	TOP	no	Stoos	Klingenstock
0be39bee-9c0d-5f10-be00-ab2c6b4211bd	84fd9bec-6011-50af-9b38-4239497b14a2	TOP	no	Säntis - Schwägalp	Girenspitz
e95120fe-c256-542a-9d08-7924d184a0fc	fb6c02f0-d2fb-577d-b31d-fe3b03339935	TOP	no	Sörenberg	Schongütsch
e00b6a66-c07a-5500-8aa0-77e76526afb1	9e4a9850-da45-525a-9c79-fa76382e8be6	TOP	no	Tschiertschen	Malakoff
af062716-f033-5d12-bf91-f42203453a3c	0b2e19b7-0747-5b25-a3e5-5ff1ada1624b	TOP	no	Unterbäch	Distelhorn
f12cecf9-def8-43d3-b9df-80f93472f16f	e82198bc-8a47-55e9-9273-586cdf9d67fe	TOP	no	Verbier	Mont Fort
046c746b-d810-4a94-858d-105f311790d0	e82198bc-8a47-55e9-9273-586cdf9d67fe	TOP	no	Veysonnaz	Mont Fort
958e98c8-d45b-444e-8235-10a1ed07ef3e	4f1d6f00-6fa5-5d99-a3ea-bd81c0fd580f	TOP	no	Villars-sur-Ollon	Le Chamossaire
10f80c71-bc57-4b07-8e79-9affe54a51ac	96daa353-d07a-59be-8699-efadccaada8f	TOP	no	Wengen	Lauberhorn
1f358f4f-7b92-5e26-87f0-7274789e5c20	1553c077-0ddd-5d27-981a-75eccc73ba47	TOP	no	Wiriehorn	Abendberg
699f832d-b7d8-457b-98ad-2e234ed23c01	eb44b56b-502a-5a32-a244-1bd716bd6f9c	TOP	no	Zermatt	Wellenkuppe
b2b8ceb0-4b0f-455c-8d32-7dcc413e82f8	71ee11a6-04c9-508a-a0ee-a11a3cce688f	TOP	no	Zinal	Corne de Sorebois
579aefe6-fd6b-49c5-8e9e-39a079a58659	71b404ef-9c06-5322-9602-248cbaf0808c	TOP	no	Zweisimmen	Vordere Spitz
